Source    Destination    Fare      Time      Distance  
64        63             8.00      2.00      1.46200   
64        65             8.00      2.00      1.29500   
99        100            8.00      2.00      1.00100   
99        98             8.00      1.00      0.83900   
67        68             8.00      2.00      1.84100   
67        66             8.00      2.00      1.55600   
81        80             8.00      1.00      1.05800   
81        131            8.00      2.00      0.86100   
108       107            10.00     3.00      2.72600   
108       109            10.00     3.00      2.49300   
82        46             8.00      4.00      1.52200   
82        83             8.00      1.00      0.90000   
82        133            8.00      3.00      2.09500   
63        62             8.00      2.00      1.37700   
130       142            8.00      2.00      1.16700   
130       129            8.00      1.00      1.17900   
146       147            8.00      1.00      1.33400   
146       145            8.00      2.00      1.71800   
28        29             8.00      7.00      1.08000   
28        27             8.00      1.00      0.60000   
149       150            8.00      1.00      1.76300   
149       148            8.00      2.00      1.30300   
74        75             8.00      2.00      1.43200   
74        73             8.00      2.00      1.09800   
56        136            8.00      3.00      1.32800   
56        116            10.00     3.00      2.41700   
56        55             8.00      6.00      0.81300   
56        95             8.00      6.00      0.62900   
34        33             8.00      2.00      1.17400   
34        35             8.00      2.00      1.19400   
33        32             8.00      1.00      0.65000   
105       104            8.00      2.00      1.31800   
105       106            8.00      2.00      1.59900   
40        35             8.00      2.00      1.09300   
40        41             8.00      2.00      1.09900   
139       138            0.00      6.00      6.20000   
139       140            0.00      4.00      3.30000   
138       137            0.00      3.00      6.40000   
60        59             8.00      1.00      0.88200   
7         8              8.00      2.00      1.34200   
7         6              8.00      2.00      1.53200   
8         9              8.00      2.00      1.16300   
2         3              8.00      1.00      0.98700   
2         1              8.00      2.00      1.08700   
3         4              8.00      2.00      1.06500   
4         5              8.00      1.00      0.89200   
5         6              8.00      1.00      0.92300   
115       114            8.00      2.00      1.76200   
115       140            30.00     3.00      3.00000   
114       1              8.00      1.00      0.99100   
61        62             8.00      2.00      1.29500   
61        42             8.00      1.00      0.91800   
107       106            8.00      2.00      1.34200   
75        76             8.00      2.00      1.28900   
124       123            8.00      2.00      0.76900   
124       125            8.00      2.00      1.41800   
100       101            8.00      2.00      1.68200   
109       110            8.00      1.00      0.91300   
151       65             8.00      2.00      1.23000   
151       152            8.00      2.00      1.81000   
101       102            8.00      2.00      1.76400   
113       112            8.00      2.00      1.49200   
112       111            8.00      2.00      1.39800   
98        97             8.00      2.00      1.23800   
46        47             8.00      7.00      1.13000   
46        57             8.00      7.00      1.20600   
31        30             8.00      1.00      0.83700   
31        66             8.00      2.00      1.79500   
141       29             8.00      2.00      0.80000   
13        12             8.00      1.00      0.92200   
13        14             8.00      2.00      1.03800   
12        11             8.00      2.00      1.36100   
118       117            8.00      1.00      0.88900   
118       119            8.00      2.00      1.51600   
136       29             8.00      2.00      1.90300   
126       125            8.00      2.00      1.14000   
126       127            8.00      2.00      1.16500   
25        24             8.00      2.00      1.14700   
25        26             8.00      2.00      1.06200   
59        58             8.00      1.00      1.13000   
117       116            8.00      2.00      1.65300   
97        96             8.00      2.00      1.31000   
121       120            8.00      2.00      1.30600   
121       122            8.00      2.00      1.09100   
123       122            8.00      0.00      0.83800   
47        48             8.00      1.00      0.77000   
80        79             8.00      2.00      1.27200   
24        23             8.00      2.00      1.06100   
35        36             10.00     8.00      2.33600   
35        43             8.00      7.00      1.16000   
131       132            8.00      2.00      1.62400   
48        49             8.00      2.00      1.46300   
20        19             8.00      7.00      0.94100   
20        133            8.00      3.00      0.95000   
20        21             8.00      6.00      0.89500   
50        49             8.00      2.00      1.28600   
50        51             8.00      2.00      0.97900   
119       120            8.00      1.00      0.77000   
77        78             8.00      2.00      1.11700   
77        66             8.00      2.00      1.29300   
111       110            8.00      2.00      1.30000   
85        86             8.00      1.00      0.71900   
85        84             8.00      2.00      1.07500   
102       103            8.00      2.00      1.00600   
29        30             8.00      6.00      0.89400   
58        39             8.00      2.00      1.12300   
68        69             8.00      2.00      1.21000   
69        70             8.00      1.00      1.03600   
144       143            8.00      1.00      1.02400   
144       145            8.00      1.00      1.14000   
128       127            8.00      2.00      1.18800   
128       129            10.00     3.00      2.02000   
19        18             8.00      2.00      1.19400   
94        93             8.00      2.00      1.31100   
91        92             8.00      1.00      0.84100   
91        90             8.00      1.00      0.89900   
92        93             8.00      2.00      1.20100   
9         10             8.00      2.00      1.06000   
148       147            8.00      2.00      1.45500   
70        71             8.00      2.00      1.16200   
32        27             8.00      7.00      1.24900   
32        137            20.00     3.00      1.90000   
143       142            10.00     2.00      2.28300   
78        79             8.00      1.00      1.00400   
71        72             8.00      1.00      0.95500   
72        73             8.00      2.00      1.18700   
86        87             8.00      2.00      1.00300   
87        88             8.00      1.00      0.94300   
55        27             8.00      7.00      1.23600   
22        23             8.00      1.00      0.93100   
22        21             8.00      2.00      1.28400   
88        89             8.00      2.00      1.16000   
51        52             8.00      1.00      0.81100   
45        44             8.00      1.00      0.83900   
45        57             8.00      2.00      1.73800   
44        43             8.00      1.00      0.95900   
83        84             8.00      2.00      1.54400   
104       103            8.00      2.00      1.89200   
96        95             8.00      2.00      1.40600   
27        26             8.00      2.00      1.23500   
17        18             8.00      1.00      0.95200   
17        16             8.00      2.00      1.14800   
54        53             8.00      2.00      1.03900   
52        53             8.00      2.00      1.30400   
152       153            8.00      1.00      0.86000   
37        36             8.00      2.00      1.67300   
37        38             8.00      2.00      1.08900   
39        38             8.00      2.00      1.19200   
15        16             8.00      1.00      0.86300   
15        14             8.00      1.00      0.93300   
90        89             8.00      1.00      0.68100   
11        10             8.00      1.00      0.99100   
41        42             8.00      2.00      1.23900
